comments,label
Kemenangan sesungguhnya KEADILAN HUKUM dan KEADILAN SOSIAL yang Timpang dirasakan Rakyat. #AniesSandi #AniesSandiDKI1,1.0
"Kami percaya, di bawah kepemimpinan #AniesSandi, Jakarta akan menjadi lebih santun, Jakarta lebih baik lagi, Jakarta yang lebih luar biasa.",1.0
Siiiip pak. Selalu bantu dan kawal #AniesSandi yaa pak untuk merealisasikan smua programnya.,1.0
"#AniesSandi itu pemimpin yang akan berada ditengah,yang akan merangkul smua masyarakatnya,tanpa membedakan suku, agama,ras dan antargolongan",1.0
Polda Diminta Objektif Selidiki Kasus Sandiaga Uno http://merahputih.com/  #merahputih #sandiagauno #aniesSandi #jakarta,1.0
"#PilkadaJakarta #AniesSandi | Wah, apakah Persija bakal punya stadion yang rumputnya seperti di MU dan tempat...",1.0
Kompas Tv Sandiaga Uno #jakarta #AniesSandi #kompas,1.0
Saya percaya usaha kita tak sia-sia. Teruslah mengemban amanat untuk Jakarta dan warganya. #PANbekerja #AmanatNasional #AniesSandi,1.0
"Salam, Saudaraku. Berdasarkan exitpoll Litbang Kompas, mayoritas pemilih PAN memilih pasangan Anies-Sandi. #AniesSandi #AmanatNasional",1.0
"maju terus pak HT bersama #AniesSandi jadilah penyejuk dan pemersatu bangsa, dan sama2 memajukan jakarta ke yang lebih baik lagi.",1.0
Mari lebih bekerja keras supaya dapat mengemban amanah. #AniesSandi #AmanatNasional #PilkadaDKI2017,1.0
"Syukur Alhamdulillah, kemenangan untuk rakyat Jakarta sudah di depan mata. #AniesSandi #AmanatNasional #PilkadaDKI2017",1.0
Waaah... #PKSLampung #aniessandi,1.0
Tidak usah ngawur lah. #AniesSandi berpihak pada pengusaha dan rakyat. Berbeda dengan ahok yang hanya pro pengembang,1.0
Saran untuk #AniesSandi dalam mewujudkan program dana 1Milyar/RW dibutuhkan persetujuan DPRD @Kemendagri_RI dan @KPK_RI untuk cegah korupsi,1.0
Iya Setuju banget Pak HT. #AniesSandi pasti akan membawa Jakarta lebih baik lagi.,1.0
Saran untuk #AniesSandi agar Reklamasi dpt dibatalkan agar dibicarakan dengan Pemerintah Pusat @KSPgoid @kemaritiman @kkpgoid @KejaksaanRI,1.0
"Jeda Iklan, Sandiaga Turun dari Panggung Debat lalu Peluk Erat Nelayan : Bang @sandiuno #OkeOce #salambersama",1.0
"LSI: Jelang Pilkada, Suara Ahok Tertinggal Jauh dari Anies - #AniesSandiMenang #GubernurGu3 #OkeOce",1.0
Sandiaga Uno: Gaji Lima Tahun Saya untuk Kaum Dhuafa http://bit.ly/2pwgHV8,1.0
Bismillah semoga tahun ini ada gubernur baruu... #AniesJawaraJakarta #GubernurkuAniesBaswedan #OkeOce #TolakReklamasi,1.0
"Ya Allah, karuniai kami dengan gubernur dan wagub yang jujur, adil dan amanah, benar2 tulus mengabdi demi kemaslahatan DKI Jakarta. Amin",1.0
Menarik.... Yang penting sesuai hati nurani <OK HAND> <OK HAND> <OK HAND> #Pilkada #Pilkada #PilkadaDki #PilkadaDki2017 #JakartaElection,1.0
Selamat atas keberhasilan #TikoTumbangkanToke #pilkadadki2017 #PilkadaDKI #pilkadajakarta <OK HAND>,1.0
"Macam-macam ya keramaian pilkada dki. ada yang potong nenen ,yang jago ngeles karena ramalan. Selamat pak Anies-Sandi #pilkadadki2017",1.0
Semoga janji Gubernur baru terpenuhi <FOLDED HANDS> #PilkadaDKI #pilkadadki2017,1.0
"Jakarta benar-benar milik Indonesia, Terima Kasih Pak! #jakartamemilih #JakartaMemilihJawara #PilkadaDKI #pilkadadki2017",1.0
Pilihanku <OK HAND> <OK HAND> <OK HAND> #pilkadaputarankedua #pilkadadki #pilkadadki2017 https://www.instagram.com/p/BTDfaWKANlH/,1.0
Anies Pasrah dengan Hasil Pilkada DKI Jakarta. https://goo.gl/VqrfZU  #pilkadadki2017 @aniesbaswedan,1.0
Allahuakbar 3x . #JakartaKece #jakarta #PilkadaDKI #pilkadadki2017 #AkuCoblosAniesSandi,1.0
<OK HAND> <OK HAND> <OK HAND>  #aniessandi #pilkadaDKI #pilkadaDKI2017 #majukotanyabahagiawarganya #prabowosubianto #pks https://www.instagram.com/p/BS7,1.0
Bedanya hampir 17%..... artinya suara AHY ke ANIES-SANDI <Glowing Star> <Glowing Star> <Glowing Star>,1.0
"Menang Pilkada DKI, Prabowo: Anies-Sandi Harus Kerja Keras",1.0
"Doain daerah sendiri dulu aja, GUB nya bagaimana <FOLDED HANDS> Aa Gym Kritik Syukuran Anies-Sandi Usai Menang di Pilkada DKI https://today.line.me/",1.0
Feeling aku sih yang menang #PilkadaDKI itu pasangan Anies-Sandi.,1.0
"KPU Sudah Umumkan Hasil Pilkada DKI, Anies-Sandi Tetap Menang, Karangan Bunga Gak Ngaruh <Cat Face With Tears of Joy> https://goo.gl/fb/ASihdv",1.0
"Inilah Hasil Rekapituasi Manual Pilkada DKI, Anies-Sandi Tetap Menang http://fb.me/5WQ3cfXh0",1.0
Alesha aja milih no.3.... Masa kita gak...!!! <Smiling Face With Sunglasses> salam 3 jari #aniessandy https://www.instagram.com/p/BS2tr9cgJ_b/,1.0
#aniessandy #gubenurgur3  <OK HAND>  <OK HAND>  <OK HAND>,1.0
... #AniesSandy  <OK HAND>  untuk Jakarta yang lebih baik ...,1.0
... Hahaha ... Adjrot Adjrot .... Ada ada aja ... Kehabisan akal ya untuk mengalahkan #AniesSandy kandidat favoritku <lovered>  <lovered>  ...,1.0
"... #AniesSandy ... Insya Allah menang. Jangan lukai hati Umat Islam, kalau sudah menjabat <OK HAND> <OK HAND> <OK HAND> ...",1.0
"@KompasTV sayang #AniesSandy tidak datang, kalau datang pasti acaranya tambah keren <OK HAND> <OK HAND> #AhokDjarotDiRosi",1.0
"... Anies memang luar biasa  <OK HAND> ... Gubernur rakyat, bukan Gubernur pengembang ... #AniesSandy",1.0
... Ahok dan Najwa bener bener mati kutu dan bingung ... #Anies menjawab semua tudingan dengan ringan dan tepat  <SMILING FACE WITH HEART-EYES> <SMILING FACE WITH HEART-EYES>  ... #AniesSandy,1.0
#garudaindonesia #indonesia #motivator #motivatorindonesia #pembicara #trainer #pelatih #coach #kata2bijak #wisdom #ahokdjarot #aniessandy,1.0
Kita semua saudara!! #PilkadaSerentak2017 #PilkadaDKI #AHY #AhokJarot #AgusSylvi #AniesSandy #Indonesia,1.0
#SalamBersama #OkeOce #Jakarta #CoblosNomor3  @aniesbaswedan @sandiuno @Gerindra @PKSejahtera @Official_PAN,1.0
Hallo Bang @aniesbaswedan Wah Asyik juga ya habis manggung di DA  <THUMBS UP> <THUMBS UP> @IndosiarID #OkeOce #Telu,1.0
#okeoce #3  <OK HAND>   <OK HAND>   <OK HAND> https://www.instagram.com/p/BS3wZR3BSRI/,1.0
sedang nongkrong tiba2 didatangi timses paslon 3 #OkeOce  <OK HAND>,1.0
"Pak Anies jadi pempmpinnya, maju terus Pak ke jalan yang di Ridhoi Allah  <THUMBS UP> <THUMBS UP> @DAcademyID @IndosiarID #OkeOce #3 #AniesSandi",1.0
Gubernur TERPILIH Kita Pak Anies  di @DAcademyID @IndosiarID #3 #OkeOce #pilkadadki2017,1.0
Saya hanya mencoba menerapkan apa yang seharusnya saya lakukan... #okeoce  <OK HAND>,1.0
3 YA 3 JANGAN LUPA YAAA #OkeOce <OK HAND> <OK HAND> <OK HAND>  #AniesSandi,1.0
"Sekarang saatnya brgabung & dukung usaha yang pimpinannya jelas seperti Ust. Yusuf Mansyur  <FOLDED HANDS> , #OkeOce #Pribumi #MuslimLawanRasis",1.0
kita sih #OkeOCE aja <OK HAND>,1.0
wiiih Aqua pun #OKEOCE pilih no 3  <OK HAND>  <OK HAND>  <OK HAND>,1.0
Ada masalah dengan #kebhinnekaan ? Kayaknya nggak ada deh ! Kalau kita fokus #OkeOce insyaALLOH akan Oke-Oke aja  <OK HAND>,1.0
#jakartakece #DebatFinalPilkadaJKT #OkeOce #3ya3 #JumatBarokah,1.0
Dengan jaringan #OkeOce saat ini @JktMajuBersama sudah bisa menghadirkan OkeOce Mart <OK HAND> #SambutGubernurBaru,1.0
"Ingat, pilih no.3 di tanggal 19 April nanti ya kakak! <OK HAND> #okeoce . #PilihAniesSandi #AniesSandi… https://www.instagram.com/p/BS1-_Sqh9Yf/",1.0
"Kali saja bpk @aniesbaswedan @sandiuno lihat, lagi di RSpun tetap selfie #OkeOce  <OK HAND>  #DebatPilkadaDki #AhokPanikAhokKalah",1.0
Kita harus dapat merangkul semua orang tanpa batas usia dan kelamin #okeoce  <OK HAND> #salambersama #pks #temanahok <Victory Hand>,1.0
Ini jagoanku dibidang digital <Smiling Face With Sunglasses> <OK HAND> http://thonyleong.com  #okeoce #salambersama,1.0
#PesanBijak #OkeOce #GubernurGu3 ...,1.0
Sandiaga: Bangun Rumah DP 0% Lebih Simpel Dibanding Tol Cipali #AniesSandiJawaraJakarta #GubernurGu3 #OkeOce #DP0%,1.0
 <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,1.0
Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,1.0
Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,1.0
"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",1.0
"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",1.0
"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",0.0
"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",0.0
krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,0.0
ayu janda bego pny suami kpn nikah laginya?,0.0
"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",0.0
"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",0.0
"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",0.0
 <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,0.0
Jijik liatnya suer deh minceeee,0.0
"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",0.0
"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",0.0
Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,0.0
" <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",0.0
" <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",0.0
"Cuman jual goyangan yak, suara macam taik...",0.0
Kasian ih nyari uang sampe segitunya,0.0
anjir tontonan yg sangat tidak bermutu!,0.0
"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",0.0
Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,0.0
"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",0.0
"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",0.0
S lonte ini bkn sensasi ngjak ribut org mulu sampah,0.0
Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,0.0
Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,0.0
Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,0.0
"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",0.0
bencong rombeng.menjijikan!!!gay jg.,0.0
"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",0.0
Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,0.0
"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",0.0
ngomong aja belepotan banyak gaya lu bencong,0.0
Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,0.0
Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,0.0
Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,0.0
"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",0.0
"Manusia laknat, matinya di apain ya",0.0
Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,0.0
Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,0.0
Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,0.0
Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,0.0
"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",0.0
Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,0.0
"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",0.0
"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",0.0
"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",0.0
Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,0.0
Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M,0.0
"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>",0.0
"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??",0.0
" <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",0.0
"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh",0.0
" <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",0.0
 <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,0.0
" <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",0.0
" <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",0.0
Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????,0.0
" <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",0.0
" <USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh",0.0
" <USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",0.0
Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan,0.0
" <USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",0.0
Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!,0.0
 <USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,0.0
Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,0.0
 <USERNAME> main main lah ke jawa timur.. Biar ga begok!!,0.0
" <USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",0.0
" <USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",0.0
 <USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda,0.0
"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali..",0.0
Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...,0.0
Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??,0.0
Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..,0.0
"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!",0.0
Norak bener. Kegaet penjahat baru rasa.,0.0
"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku",0.0
Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras,0.0
